"year","pdo","era","npgo","variable","value","variable_era","scale_x","system","ï..year"
1988,1.56,"1",0.486616328,"Engraulis.mordax",2.48034382322984,"1Engraulis.mordax",-0.0796955299687501,"Southern California Current",NA
1989,0.308,"2",0.898568807,"Engraulis.mordax",1.6378006484374,"2Engraulis.mordax",-0.590597973192334,"Southern California Current",NA
1990,-0.553,"2",0.506979064,"Engraulis.mordax",4.44052788065534,"2Engraulis.mordax",1.10892346792808,"Southern California Current",NA
1991,-1.015,"2",-0.395936969,"Engraulis.mordax",3.50013205937138,"2Engraulis.mordax",0.538685007674004,"Southern California Current",NA
1992,-0.633,"2",-0.52970458,"Engraulis.mordax",2.40833341801114,"2Engraulis.mordax",-0.1233612946019,"Southern California Current",NA
1993,0.4,"2",-1.101862623,"Engraulis.mordax",2.39897521177236,"2Engraulis.mordax",-0.129035936061978,"Southern California Current",NA
1994,0.737,"2",-2.0536766,"Engraulis.mordax",2.90829001732656,"2Engraulis.mordax",0.179803048470402,"Southern California Current",NA
1995,0.188,"2",-1.750743963,"Engraulis.mordax",2.34876581780033,"2Engraulis.mordax",-0.159481974698996,"Southern California Current",NA
1996,-0.08,"2",-0.972205973,"Engraulis.mordax",2.59142697848998,"2Engraulis.mordax",-0.0123367795553113,"Southern California Current",NA
1997,0.345,"2",-0.872874358,"Engraulis.mordax",1.27862234785784,"2Engraulis.mordax",-0.808396985526863,"Southern California Current",NA
1998,0.741,"2",-0.207043223,"Engraulis.mordax",2.62700362974876,"2Engraulis.mordax",0.00923623722724325,"Southern California Current",NA
1999,0.392,"2",1.060346525,"Engraulis.mordax",1.84389492659677,"2Engraulis.mordax",-0.465626252577586,"Southern California Current",NA
2000,-0.849,"2",1.48981569,"Engraulis.mordax",2.23172979299595,"2Engraulis.mordax",-0.230450434009658,"Southern California Current",NA
2001,-0.489,"2",2.04370374,"Engraulis.mordax",1.77908650452598,"2Engraulis.mordax",-0.504924869156599,"Southern California Current",NA
2002,-0.166,"2",2.21101428,"Engraulis.mordax",2.45036053999683,"2Engraulis.mordax",-0.0978768328597067,"Southern California Current",NA
2003,0.597,"2",1.847202098,"Engraulis.mordax",0.844200873422588,"2Engraulis.mordax",-1.07182205301072,"Southern California Current",NA
2004,1.133,"2",1.017340841,"Engraulis.mordax",1.81173359793148,"2Engraulis.mordax",-0.485128281534691,"Southern California Current",NA
2005,0.418,"2",-0.464178828,"Engraulis.mordax",4.5641773600935,"2Engraulis.mordax",1.18390220259511,"Southern California Current",NA
2006,0.225,"2",-1.140552009,"Engraulis.mordax",1.85386251946443,"2Engraulis.mordax",-0.459582090448565,"Southern California Current",NA
2007,0.005,"2",-0.758874825,"Engraulis.mordax",1.41033754946806,"2Engraulis.mordax",-0.728527347595339,"Southern California Current",NA
2008,-0.453,"2",0.200113124,"Engraulis.mordax",0.907398490426642,"2Engraulis.mordax",-1.03350019853574,"Southern California Current",NA
2009,-1.08,"2",0.863074104,"Engraulis.mordax",0.473321608117613,"2Engraulis.mordax",-1.29671631179094,"Southern California Current",NA
2010,-0.489,"2",1.205527493,"Engraulis.mordax",0.0517202059848457,"2Engraulis.mordax",-1.55236752689832,"Southern California Current",NA
2011,-0.27,"2",1.151701801,"Engraulis.mordax",0.0950615084714499,"2Engraulis.mordax",-1.52608617064812,"Southern California Current",NA
2012,-1.187,"2",0.715919051,"Engraulis.mordax",0,"2Engraulis.mordax",-1.58372969371926,"Southern California Current",NA
2013,-0.966,"2",0.899579929,"Engraulis.mordax",0.0811343054188447,"2Engraulis.mordax",-1.53453136643123,"Southern California Current",NA
1952,-1.278,"1",-0.754469305,"Leuroglossus.stilbius",3.40976249763716,"1Leuroglossus.stilbius",1.43936187359257,"Southern California Current",NA
1953,-0.754,"1",-0.189423214,"Leuroglossus.stilbius",3.37408002657683,"1Leuroglossus.stilbius",1.39517143312645,"Southern California Current",NA
1954,-0.589,"1",0.923654354,"Leuroglossus.stilbius",0.483047731266355,"1Leuroglossus.stilbius",-2.18518572082541,"Southern California Current",NA
1955,-0.577,"1",0.641823889,"Leuroglossus.stilbius",1.66517589433956,"1Leuroglossus.stilbius",-0.721196185871912,"Southern California Current",NA
1956,-1.597,"1",0.00270620269999999,"Leuroglossus.stilbius",2.2558747783036,"1Leuroglossus.stilbius",0.0103463079503183,"Southern California Current",NA
1957,-1.947,"1",-0.6155909853,"Leuroglossus.stilbius",2.82974432364246,"1Leuroglossus.stilbius",0.721046750633694,"Southern California Current",NA
1958,-0.561,"1",-0.857569587,"Leuroglossus.stilbius",1.47415181446209,"1Leuroglossus.stilbius",-0.957767196190883,"Southern California Current",NA
1959,0.024,"1",-0.505221752,"Leuroglossus.stilbius",1.64407021479169,"1Leuroglossus.stilbius",-0.747334209608557,"Southern California Current",NA
1960,0.177,"1",0.103336818,"Leuroglossus.stilbius",3.37614149306511,"1Leuroglossus.stilbius",1.39772442649872,"Southern California Current",NA
1961,0.342,"1",0.93745374,"Leuroglossus.stilbius",3.44678550064317,"1Leuroglossus.stilbius",1.48521247646835,"Southern California Current",NA
1962,-0.676,"1",0.633675885,"Leuroglossus.stilbius",3.56484942661928,"1Leuroglossus.stilbius",1.63142703888534,"Southern California Current",NA
1963,-1.076,"1",-0.12433509,"Leuroglossus.stilbius",2.85164004323727,"1Leuroglossus.stilbius",0.748163188045813,"Southern California Current",NA
1964,-0.659,"1",0.164053783,"Leuroglossus.stilbius",3.11736880890486,"1Leuroglossus.stilbius",1.0772511365658,"Southern California Current",NA
1965,-0.891,"1",-0.00752991079999993,"Leuroglossus.stilbius",2.36015561277418,"1Leuroglossus.stilbius",0.139491399937855,"Southern California Current",NA
1966,-0.735,"1",-0.7142963098,"Leuroglossus.stilbius",2.46127691169179,"1Leuroglossus.stilbius",0.26472361079342,"Southern California Current",NA
1969,-0.653,"1",-0.796891715,"Leuroglossus.stilbius",2.93586366312255,"1Leuroglossus.stilbius",0.852468712573203,"Southern California Current",NA
1975,-0.809,"1",0.1908359156,"Leuroglossus.stilbius",1.05212430676088,"1Leuroglossus.stilbius",-1.48042106235955,"Southern California Current",NA
1978,0.767,"1",1.32380542,"Leuroglossus.stilbius",2.3773337438667,"1Leuroglossus.stilbius",0.160765408065814,"Southern California Current",NA
1981,0.567,"1",-0.823966005,"Leuroglossus.stilbius",3.14259522909817,"1Leuroglossus.stilbius",1.1084924319862,"Southern California Current",NA
1983,0.602,"1",-0.000825666000000225,"Leuroglossus.stilbius",2.14998631965333,"1Leuroglossus.stilbius",-0.120789722963067,"Southern California Current",NA
1984,1.101,"1",0.119633917,"Leuroglossus.stilbius",2.61388743784802,"1Leuroglossus.stilbius",0.453721910804848,"Southern California Current",NA
1985,1.15,"1",0.2393402039,"Leuroglossus.stilbius",1.58458480490323,"1Leuroglossus.stilbius",-0.821003055575922,"Southern California Current",NA
1986,0.885,"1",-0.4553155771,"Leuroglossus.stilbius",1.59450131483212,"1Leuroglossus.stilbius",-0.808722097205541,"Southern California Current",NA
1987,1.381,"1",-0.537648356,"Leuroglossus.stilbius",2.06849733344011,"1Leuroglossus.stilbius",-0.221708579950604,"Southern California Current",NA
1988,1.56,"1",0.486616328,"Leuroglossus.stilbius",1.13058935519271,"1Leuroglossus.stilbius",-1.38324715740395,"Southern California Current",NA
1989,0.308,"2",0.898568807,"Leuroglossus.stilbius",1.30218777201064,"2Leuroglossus.stilbius",-1.17073357868763,"Southern California Current",NA
1990,-0.553,"2",0.506979064,"Leuroglossus.stilbius",3.65552535027406,"2Leuroglossus.stilbius",1.74372332574288,"Southern California Current",NA
1991,-1.015,"2",-0.395936969,"Leuroglossus.stilbius",3.83757558490045,"2Leuroglossus.stilbius",1.96918080713473,"Southern California Current",NA
1992,-0.633,"2",-0.52970458,"Leuroglossus.stilbius",1.09103813777116,"2Leuroglossus.stilbius",-1.4322287908753,"Southern California Current",NA
1993,0.4,"2",-1.101862623,"Leuroglossus.stilbius",2.83264274040264,"2Leuroglossus.stilbius",0.724636252971415,"Southern California Current",NA
1994,0.737,"2",-2.0536766,"Leuroglossus.stilbius",1.88885938336091,"2Leuroglossus.stilbius",-0.444178602416485,"Southern California Current",NA
1995,0.188,"2",-1.750743963,"Leuroglossus.stilbius",1.74150151435412,"2Leuroglossus.stilbius",-0.626671825112534,"Southern California Current",NA
1996,-0.08,"2",-0.972205973,"Leuroglossus.stilbius",2.54784342528503,"2Leuroglossus.stilbius",0.371930658165038,"Southern California Current",NA
1997,0.345,"2",-0.872874358,"Leuroglossus.stilbius",2.46545749312105,"2Leuroglossus.stilbius",0.269900991430851,"Southern California Current",NA
1998,0.741,"2",-0.207043223,"Leuroglossus.stilbius",2.27562011057517,"2Leuroglossus.stilbius",0.0347996292675328,"Southern California Current",NA
1999,0.392,"2",1.060346525,"Leuroglossus.stilbius",2.68075609830884,"2Leuroglossus.stilbius",0.536534436712782,"Southern California Current",NA
2000,-0.849,"2",1.48981569,"Leuroglossus.stilbius",2.43109378747635,"2Leuroglossus.stilbius",0.227343756929919,"Southern California Current",NA
2001,-0.489,"2",2.04370374,"Leuroglossus.stilbius",1.93984176051272,"2Leuroglossus.stilbius",-0.381040214423711,"Southern California Current",NA
2002,-0.166,"2",2.21101428,"Leuroglossus.stilbius",2.57119190041758,"2Leuroglossus.stilbius",0.400846239672132,"Southern California Current",NA
2003,0.597,"2",1.847202098,"Leuroglossus.stilbius",0.686296217705066,"2Leuroglossus.stilbius",-1.93347557091421,"Southern California Current",NA
2004,1.133,"2",1.017340841,"Leuroglossus.stilbius",2.6565824433851,"2Leuroglossus.stilbius",0.50659692322192,"Southern California Current",NA
2005,0.418,"2",-0.464178828,"Leuroglossus.stilbius",2.06384435771768,"2Leuroglossus.stilbius",-0.227470990471576,"Southern California Current",NA
2006,0.225,"2",-1.140552009,"Leuroglossus.stilbius",2.41086453033704,"2Leuroglossus.stilbius",0.202291125855771,"Southern California Current",NA
2007,0.005,"2",-0.758874825,"Leuroglossus.stilbius",2.06722832235714,"2Leuroglossus.stilbius",-0.223280168381741,"Southern California Current",NA
2008,-0.453,"2",0.200113124,"Leuroglossus.stilbius",2.38735181609878,"2Leuroglossus.stilbius",0.173172144802417,"Southern California Current",NA
2009,-1.08,"2",0.863074104,"Leuroglossus.stilbius",1.35728910474786,"2Leuroglossus.stilbius",-1.10249412969289,"Southern California Current",NA
2010,-0.489,"2",1.205527493,"Leuroglossus.stilbius",1.18755501744597,"2Leuroglossus.stilbius",-1.31269885647044,"Southern California Current",NA
2011,-0.27,"2",1.151701801,"Leuroglossus.stilbius",1.18764560114461,"2Leuroglossus.stilbius",-1.31258667439832,"Southern California Current",NA
2012,-1.187,"2",0.715919051,"Leuroglossus.stilbius",2.2870716079761,"2Leuroglossus.stilbius",0.0489815706831955,"Southern California Current",NA
2013,-0.966,"2",0.899579929,"Leuroglossus.stilbius",1.85906939834717,"2Leuroglossus.stilbius",-0.481071578718782,"Southern California Current",NA
1952,-1.278,"1",-0.754469305,"Lipolagus.ochotensis",1.46249338562387,"1Lipolagus.ochotensis",0.132730045793237,"Southern California Current",NA
1953,-0.754,"1",-0.189423214,"Lipolagus.ochotensis",1.36257939673216,"1Lipolagus.ochotensis",-0.00956474738440143,"Southern California Current",NA
1954,-0.589,"1",0.923654354,"Lipolagus.ochotensis",0.280739273767573,"1Lipolagus.ochotensis",-1.5502921095495,"Southern California Current",NA
1955,-0.577,"1",0.641823889,"Lipolagus.ochotensis",0.983191735210446,"1Lipolagus.ochotensis",-0.549878365419318,"Southern California Current",NA
1956,-1.597,"1",0.00270620269999999,"Lipolagus.ochotensis",0.983854091873633,"1Lipolagus.ochotensis",-0.548935055023612,"Southern California Current",NA
1957,-1.947,"1",-0.6155909853,"Lipolagus.ochotensis",0.705847675302985,"1Lipolagus.ochotensis",-0.944864253595115,"Southern California Current",NA
1958,-0.561,"1",-0.857569587,"Lipolagus.ochotensis",0.599205255425869,"1Lipolagus.ochotensis",-1.09674149569806,"Southern California Current",NA
1959,0.024,"1",-0.505221752,"Lipolagus.ochotensis",0.232316473677915,"1Lipolagus.ochotensis",-1.61925454814564,"Southern California Current",NA
1960,0.177,"1",0.103336818,"Lipolagus.ochotensis",0.388300128630436,"1Lipolagus.ochotensis",-1.39710685724905,"Southern California Current",NA
1961,0.342,"1",0.93745374,"Lipolagus.ochotensis",0.501795596252753,"1Lipolagus.ochotensis",-1.23546969041127,"Southern California Current",NA
1962,-0.676,"1",0.633675885,"Lipolagus.ochotensis",0.576293394678644,"1Lipolagus.ochotensis",-1.12937194637374,"Southern California Current",NA
1963,-1.076,"1",-0.12433509,"Lipolagus.ochotensis",0.458063930083501,"1Lipolagus.ochotensis",-1.29775114330784,"Southern California Current",NA
1964,-0.659,"1",0.164053783,"Lipolagus.ochotensis",1.33764385701445,"1Lipolagus.ochotensis",-0.0450772667649457,"Southern California Current",NA
1965,-0.891,"1",-0.00752991079999993,"Lipolagus.ochotensis",0.43431919119739,"1Lipolagus.ochotensis",-1.33156775644014,"Southern California Current",NA
1966,-0.735,"1",-0.7142963098,"Lipolagus.ochotensis",1.62552542230404,"1Lipolagus.ochotensis",0.364915850784742,"Southern California Current",NA
1969,-0.653,"1",-0.796891715,"Lipolagus.ochotensis",0.955953492998853,"1Lipolagus.ochotensis",-0.588670331239257,"Southern California Current",NA
1975,-0.809,"1",0.1908359156,"Lipolagus.ochotensis",1.43785781450926,"1Lipolagus.ochotensis",0.0976447335616754,"Southern California Current",NA
1978,0.767,"1",1.32380542,"Lipolagus.ochotensis",2.39038392983309,"1Lipolagus.ochotensis",1.45420659321484,"Southern California Current",NA
1981,0.567,"1",-0.823966005,"Lipolagus.ochotensis",1.34526389164032,"1Lipolagus.ochotensis",-0.0342250201163829,"Southern California Current",NA
1983,0.602,"1",-0.000825666000000225,"Lipolagus.ochotensis",0.865851517347404,"1Lipolagus.ochotensis",-0.71699112127513,"Southern California Current",NA
1984,1.101,"1",0.119633917,"Lipolagus.ochotensis",1.68045799424846,"1Lipolagus.ochotensis",0.443149329902656,"Southern California Current",NA
1985,1.15,"1",0.2393402039,"Lipolagus.ochotensis",0.750809888144222,"1Lipolagus.ochotensis",-0.880830289502389,"Southern California Current",NA
1986,0.885,"1",-0.4553155771,"Lipolagus.ochotensis",0.674427794720902,"1Lipolagus.ochotensis",-0.989611595370642,"Southern California Current",NA
1987,1.381,"1",-0.537648356,"Lipolagus.ochotensis",2.03591736700147,"1Lipolagus.ochotensis",0.9493849280406,"Southern California Current",NA
1988,1.56,"1",0.486616328,"Lipolagus.ochotensis",1.54166980054179,"1Lipolagus.ochotensis",0.245490948548338,"Southern California Current",NA
1989,0.308,"2",0.898568807,"Lipolagus.ochotensis",1.39590842427821,"2Lipolagus.ochotensis",0.0379015497185712,"Southern California Current",NA
1990,-0.553,"2",0.506979064,"Lipolagus.ochotensis",2.81941654082863,"2Lipolagus.ochotensis",2.06522320185249,"Southern California Current",NA
1991,-1.015,"2",-0.395936969,"Lipolagus.ochotensis",2.61373795308477,"2Lipolagus.ochotensis",1.77230133546798,"Southern California Current",NA
1992,-0.633,"2",-0.52970458,"Lipolagus.ochotensis",1.24041828890143,"2Lipolagus.ochotensis",-0.183543283983166,"Southern California Current",NA
1993,0.4,"2",-1.101862623,"Lipolagus.ochotensis",2.26893381825976,"2Lipolagus.ochotensis",1.28124063820269,"Southern California Current",NA
1994,0.737,"2",-2.0536766,"Lipolagus.ochotensis",1.74526046749945,"2Lipolagus.ochotensis",0.53543925477637,"Southern California Current",NA
1995,0.188,"2",-1.750743963,"Lipolagus.ochotensis",0.58997062444029,"2Lipolagus.ochotensis",-1.10989320669209,"Southern California Current",NA
1996,-0.08,"2",-0.972205973,"Lipolagus.ochotensis",1.33612686431468,"2Lipolagus.ochotensis",-0.0472377266250732,"Southern California Current",NA
1997,0.345,"2",-0.872874358,"Lipolagus.ochotensis",0.974742739947416,"2Lipolagus.ochotensis",-0.561911195324795,"Southern California Current",NA
1998,0.741,"2",-0.207043223,"Lipolagus.ochotensis",1.53211949221043,"2Lipolagus.ochotensis",0.231889658440039,"Southern California Current",NA
1999,0.392,"2",1.060346525,"Lipolagus.ochotensis",2.261029453725,"2Lipolagus.ochotensis",1.2699834566093,"Southern California Current",NA
2000,-0.849,"2",1.48981569,"Lipolagus.ochotensis",1.79952247610244,"2Lipolagus.ochotensis",0.61271773577,"Southern California Current",NA
2001,-0.489,"2",2.04370374,"Lipolagus.ochotensis",1.64700401578174,"2Lipolagus.ochotensis",0.395505081087302,"Southern California Current",NA
2002,-0.166,"2",2.21101428,"Lipolagus.ochotensis",2.31038568327031,"2Lipolagus.ochotensis",1.34027526012031,"Southern California Current",NA
2003,0.597,"2",1.847202098,"Lipolagus.ochotensis",1.47566665578442,"2Lipolagus.ochotensis",0.151491059879065,"Southern California Current",NA
2004,1.133,"2",1.017340841,"Lipolagus.ochotensis",2.17068214411818,"2Lipolagus.ochotensis",1.14131326860797,"Southern California Current",NA
2005,0.418,"2",-0.464178828,"Lipolagus.ochotensis",1.6285382798289,"2Lipolagus.ochotensis",0.369206680758895,"Southern California Current",NA
2006,0.225,"2",-1.140552009,"Lipolagus.ochotensis",0.857653841051758,"2Lipolagus.ochotensis",-0.728666029523367,"Southern California Current",NA
2007,0.005,"2",-0.758874825,"Lipolagus.ochotensis",1.16803028611888,"2Lipolagus.ochotensis",-0.286636314285952,"Southern California Current",NA
2008,-0.453,"2",0.200113124,"Lipolagus.ochotensis",0.983889316006338,"2Lipolagus.ochotensis",-0.548884889769139,"Southern California Current",NA
2009,-1.08,"2",0.863074104,"Lipolagus.ochotensis",0.972321218915963,"2Lipolagus.ochotensis",-0.565359859902879,"Southern California Current",NA
2010,-0.489,"2",1.205527493,"Lipolagus.ochotensis",1.56460613239109,"2Lipolagus.ochotensis",0.278156250303903,"Southern California Current",NA
2011,-0.27,"2",1.151701801,"Lipolagus.ochotensis",1.78911274274814,"2Lipolagus.ochotensis",0.597892475852793,"Southern California Current",NA
2012,-1.187,"2",0.715919051,"Lipolagus.ochotensis",2.78496808132669,"2Lipolagus.ochotensis",2.01616264011845,"Southern California Current",NA
2013,-0.966,"2",0.899579929,"Lipolagus.ochotensis",2.92396207876147,"2Lipolagus.ochotensis",2.21411412156066,"Southern California Current",NA
1952,-1.278,"1",-0.754469305,"Merluccius.productus",2.91232291214546,"1Merluccius.productus",0.924218005171069,"Southern California Current",NA
1953,-0.754,"1",-0.189423214,"Merluccius.productus",0.880452284934265,"1Merluccius.productus",-0.926147095846045,"Southern California Current",NA
1954,-0.589,"1",0.923654354,"Merluccius.productus",1.71324915664517,"1Merluccius.productus",-0.167743363338171,"Southern California Current",NA
1955,-0.577,"1",0.641823889,"Merluccius.productus",0.967066213304829,"1Merluccius.productus",-0.847270326738526,"Southern California Current",NA
1956,-1.597,"1",0.00270620269999999,"Merluccius.productus",0.925044403890772,"1Merluccius.productus",-0.885538358462615,"Southern California Current",NA
1957,-1.947,"1",-0.6155909853,"Merluccius.productus",3.34943393401976,"1Merluccius.productus",1.32228221719044,"Southern California Current",NA
1958,-0.561,"1",-0.857569587,"Merluccius.productus",3.9586877014778,"1Merluccius.productus",1.8771117884584,"Southern California Current",NA
1959,0.024,"1",-0.505221752,"Merluccius.productus",2.60860067037384,"1Merluccius.productus",0.647627050486003,"Southern California Current",NA
1960,0.177,"1",0.103336818,"Merluccius.productus",3.19163891538787,"1Merluccius.productus",1.17858291287423,"Southern California Current",NA
1961,0.342,"1",0.93745374,"Merluccius.productus",2.42610843169181,"1Merluccius.productus",0.48143671083471,"Southern California Current",NA
1962,-0.676,"1",0.633675885,"Merluccius.productus",2.82111935607453,"1Merluccius.productus",0.841161596469529,"Southern California Current",NA
1963,-1.076,"1",-0.12433509,"Merluccius.productus",2.9099753332795,"1Merluccius.productus",0.922080133818787,"Southern California Current",NA
1964,-0.659,"1",0.164053783,"Merluccius.productus",2.78909298033135,"1Merluccius.productus",0.81199611359202,"Southern California Current",NA
1965,-0.891,"1",-0.00752991079999993,"Merluccius.productus",2.5651598252852,"1Merluccius.productus",0.608066744512667,"Southern California Current",NA
1966,-0.735,"1",-0.7142963098,"Merluccius.productus",4.11832972670373,"1Merluccius.productus",2.02249310761217,"Southern California Current",NA
1969,-0.653,"1",-0.796891715,"Merluccius.productus",3.66587420373293,"1Merluccius.productus",1.61045510762557,"Southern California Current",NA
1975,-0.809,"1",0.1908359156,"Merluccius.productus",0.2290696908383,"1Merluccius.productus",-1.51934215629115,"Southern California Current",NA
1978,0.767,"1",1.32380542,"Merluccius.productus",3.66549282275595,"1Merluccius.productus",1.61010779513405,"Southern California Current",NA
1981,0.567,"1",-0.823966005,"Merluccius.productus",3.09624772418772,"1Merluccius.productus",1.09171294744564,"Southern California Current",NA
1983,0.602,"1",-0.000825666000000225,"Merluccius.productus",1.1616576534431,"1Merluccius.productus",-0.67006159850236,"Southern California Current",NA
1984,1.101,"1",0.119633917,"Merluccius.productus",1.31928425282989,"1Merluccius.productus",-0.526515668662504,"Southern California Current",NA
1985,1.15,"1",0.2393402039,"Merluccius.productus",0.474183507646701,"1Merluccius.productus",-1.29612417856887,"Southern California Current",NA
1986,0.885,"1",-0.4553155771,"Merluccius.productus",0.640735520749084,"1Merluccius.productus",-1.1444501357329,"Southern California Current",NA
1987,1.381,"1",-0.537648356,"Merluccius.productus",0.694480308736419,"1Merluccius.productus",-1.09550633059023,"Southern California Current",NA
1988,1.56,"1",0.486616328,"Merluccius.productus",0.275052487448363,"1Merluccius.productus",-1.47746696947809,"Southern California Current",NA
1989,0.308,"2",0.898568807,"Merluccius.productus",0.665117087817118,"2Merluccius.productus",-1.12224655632847,"Southern California Current",NA
1990,-0.553,"2",0.506979064,"Merluccius.productus",3.60139282583003,"2Merluccius.productus",1.55173380434024,"Southern California Current",NA
1991,-1.015,"2",-0.395936969,"Merluccius.productus",2.83178097402105,"2Merluccius.productus",0.850870819834648,"Southern California Current",NA
1992,-0.633,"2",-0.52970458,"Merluccius.productus",0.930847514686933,"2Merluccius.productus",-0.880253635335686,"Southern California Current",NA
1993,0.4,"2",-1.101862623,"Merluccius.productus",1.42384939096872,"2Merluccius.productus",-0.431291258306867,"Southern California Current",NA
1994,0.737,"2",-2.0536766,"Merluccius.productus",2.69778008215688,"2Merluccius.productus",0.728840130237571,"Southern California Current",NA
1995,0.188,"2",-1.750743963,"Merluccius.productus",1.79175863373274,"2Merluccius.productus",-0.0962470807715338,"Southern California Current",NA
1996,-0.08,"2",-0.972205973,"Merluccius.productus",1.92251414197779,"2Merluccius.productus",0.0228281329661014,"Southern California Current",NA
1997,0.345,"2",-0.872874358,"Merluccius.productus",1.77682306351804,"2Merluccius.productus",-0.109848467355385,"Southern California Current",NA
1998,0.741,"2",-0.207043223,"Merluccius.productus",1.15981602706213,"2Merluccius.productus",-0.671738713737367,"Southern California Current",NA
1999,0.392,"2",1.060346525,"Merluccius.productus",2.11266298771301,"2Merluccius.productus",0.195991120527989,"Southern California Current",NA
2000,-0.849,"2",1.48981569,"Merluccius.productus",2.57715188133569,"2Merluccius.productus",0.618987558913002,"Southern California Current",NA
2001,-0.489,"2",2.04370374,"Merluccius.productus",1.83562901297497,"2Merluccius.productus",-0.056295610618326,"Southern California Current",NA
2002,-0.166,"2",2.21101428,"Merluccius.productus",2.8197918841762,"2Merluccius.productus",0.839952706670959,"Southern California Current",NA
2003,0.597,"2",1.847202098,"Merluccius.productus",1.483568770163,"2Merluccius.productus",-0.376906567846937,"Southern California Current",NA
2004,1.133,"2",1.017340841,"Merluccius.productus",2.19793935924961,"2Merluccius.productus",0.273649815781274,"Southern California Current",NA
2005,0.418,"2",-0.464178828,"Merluccius.productus",2.62501097518253,"2Merluccius.productus",0.662571434694524,"Southern California Current",NA
2006,0.225,"2",-1.140552009,"Merluccius.productus",1.25705166398183,"2Merluccius.productus",-0.583189065584653,"Southern California Current",NA
2007,0.005,"2",-0.758874825,"Merluccius.productus",0.531166297250733,"2Merluccius.productus",-1.24423162014028,"Southern California Current",NA
2008,-0.453,"2",0.200113124,"Merluccius.productus",1.03055200274375,"2Merluccius.productus",-0.789455676723365,"Southern California Current",NA
2009,-1.08,"2",0.863074104,"Merluccius.productus",0.477850255796522,"2Merluccius.productus",-1.29278497836598,"Southern California Current",NA
2010,-0.489,"2",1.205527493,"Merluccius.productus",0.382456228880838,"2Merluccius.productus",-1.37965752619769,"Southern California Current",NA
2011,-0.27,"2",1.151701801,"Merluccius.productus",1.32080849058661,"2Merluccius.productus",-0.525127589956647,"Southern California Current",NA
2012,-1.187,"2",0.715919051,"Merluccius.productus",1.40382363817198,"2Merluccius.productus",-0.449528125162678,"Southern California Current",NA
2013,-0.966,"2",0.899579929,"Merluccius.productus",0.656834682336049,"2Merluccius.productus",-1.12978910054827,"Southern California Current",NA
1952,-1.278,"1",-0.754469305,"Nannobrachium1",1.6326439132592,"1Nannobrachium1",1.350389604929,"Southern California Current",NA
1953,-0.754,"1",-0.189423214,"Nannobrachium1",0.430288628486268,"1Nannobrachium1",-1.25781471852101,"Southern California Current",NA
1954,-0.589,"1",0.923654354,"Nannobrachium1",0.496273147378826,"1Nannobrachium1",-1.11467806861736,"Southern California Current",NA
1955,-0.577,"1",0.641823889,"Nannobrachium1",0.288207442361948,"1Nannobrachium1",-1.56602375508739,"Southern California Current",NA
1956,-1.597,"1",0.00270620269999999,"Nannobrachium1",0.169896678309609,"1Nannobrachium1",-1.82266890001247,"Southern California Current",NA
1957,-1.947,"1",-0.6155909853,"Nannobrachium1",0.813506004689784,"1Nannobrachium1",-0.426521979932564,"Southern California Current",NA
1958,-0.561,"1",-0.857569587,"Nannobrachium1",0.815632854902382,"1Nannobrachium1",-0.421908318737673,"Southern California Current",NA
1959,0.024,"1",-0.505221752,"Nannobrachium1",0.87791394607385,"1Nannobrachium1",-0.286805314392926,"Southern California Current",NA
1960,0.177,"1",0.103336818,"Nannobrachium1",0.927710518092824,"1Nannobrachium1",-0.178784302569115,"Southern California Current",NA
1961,0.342,"1",0.93745374,"Nannobrachium1",0.461617080842218,"1Nannobrachium1",-1.1898556003497,"Southern California Current",NA
1962,-0.676,"1",0.633675885,"Nannobrachium1",0.904025599839561,"1Nannobrachium1",-0.230162715398554,"Southern California Current",NA
1963,-1.076,"1",-0.12433509,"Nannobrachium1",0.321604765245078,"1Nannobrachium1",-1.49357674791855,"Southern California Current",NA
1964,-0.659,"1",0.164053783,"Nannobrachium1",0.636128692386747,"1Nannobrachium1",-0.811296995013147,"Southern California Current",NA
1965,-0.891,"1",-0.00752991079999993,"Nannobrachium1",0.886359665782525,"1Nannobrachium1",-0.268484471179788,"Southern California Current",NA
1966,-0.735,"1",-0.7142963098,"Nannobrachium1",1.82506474622704,"1Nannobrachium1",1.76779771617904,"Southern California Current",NA
1969,-0.653,"1",-0.796891715,"Nannobrachium1",1.09978337164286,"1Nannobrachium1",0.194484036882099,"Southern California Current",NA
1975,-0.809,"1",0.1908359156,"Nannobrachium1",0.776594699324901,"1Nannobrachium1",-0.50659167934346,"Southern California Current",NA
1978,0.767,"1",1.32380542,"Nannobrachium1",1.34268947807325,"1Nannobrachium1",0.721407122768314,"Southern California Current",NA
1981,0.567,"1",-0.823966005,"Nannobrachium1",1.07889009392723,"1Nannobrachium1",0.14916137896303,"Southern California Current",NA
1983,0.602,"1",-0.000825666000000225,"Nannobrachium1",1.47921612470817,"1Nannobrachium1",1.01756699708248,"Southern California Current",NA
1984,1.101,"1",0.119633917,"Nannobrachium1",0.968079791963842,"1Nannobrachium1",-0.0912134190055178,"Southern California Current",NA
1985,1.15,"1",0.2393402039,"Nannobrachium1",0.719922473490522,"1Nannobrachium1",-0.629527675311306,"Southern California Current",NA
